"subj_id","rt","confidence","correct","present","easy"
1,2.19780000019073,0.75,1,-1,0
1,2.07509999990463,0.752777777777778,1,-1,1
1,1.47579999995232,0.905555555555556,1,1,1
1,3.01860000014305,0.580555555555555,0,1,0
1,1.74709999990463,0.836111111111111,1,-1,0
1,2.7675,0.680555555555556,1,-1,1
1,1.95310000014305,0.901388888888889,1,1,1
1,1.75629999995232,0.930555555555556,1,1,0
1,1.90939999985695,0.808333333333333,1,1,1
1,3.29730000019073,0.619444444444444,0,1,0
1,1.96939999985695,0.8625,1,-1,0
1,2.21879999995232,0.766666666666667,1,-1,1
1,2.4385,0.777777777777778,1,-1,1
1,3.72360000014305,0.538888888888889,0,1,0
1,1.84429999995232,0.827777777777778,1,1,1
1,1.78570000004768,0.9,1,-1,0
1,2.33859999990463,0.875,1,1,0
1,3.10170000004768,0.665277777777778,1,-1,0
1,1.96289999985695,0.891666666666667,1,1,1
1,2.31109999990463,0.733333333333333,1,-1,1
1,2.41980000019073,0.9,1,1,1
1,2.47739999985695,0.806944444444444,1,-1,0
1,2.81259999990463,0.745833333333333,1,-1,1
1,2.84089999985695,0.888888888888889,1,1,0
1,2.27759999990463,0.844444444444444,1,-1,0
1,2.95710000014305,0.413888888888889,1,-1,1
1,1.66,0.980555555555556,1,1,1
1,2.83960000014305,0.794444444444445,1,1,0
1,2.40289999985695,0.770833333333333,1,-1,1
1,1.94919999980927,0.945833333333333,1,1,1
1,2.66660000014305,0.791666666666667,1,-1,0
1,3.12990000009537,0.747222222222222,0,1,0
1,2.69690000009537,0.688888888888889,1,-1,0
1,2.24640000009537,0.836111111111111,1,1,1
1,2.95329999995232,0.808333333333333,1,-1,1
1,3.13940000009537,0.716666666666667,0,1,0
1,4.73279999995232,0.380555555555556,0,1,1
1,6.77529999995232,0.694444444444444,0,1,0
1,2.9575,0.798611111111111,1,-1,1
1,3.41109999990463,0.619444444444444,1,-1,0
1,3.05879999995232,0.613888888888889,1,1,0
1,1.82220000004768,0.869444444444444,1,1,1
1,2.97630000019073,0.655555555555556,1,-1,1
1,4.683,0.602777777777778,1,-1,0
1,2.0365,0.786111111111111,1,1,0
1,2.51470000004768,0.755555555555556,1,-1,1
1,3.01420000004768,0.702777777777778,1,-1,0
1,1.8795,0.968055555555556,1,1,1
1,2.24460000014305,0.919444444444444,1,1,1
1,2.8815,0.768055555555555,1,-1,1
1,3.51359999990463,0.695833333333333,1,-1,0
1,5.18910000014305,0.565277777777778,0,1,0
1,2.8085,0.794444444444445,1,-1,0
1,3.34479999995232,0.744444444444444,1,-1,1
1,5.46140000009537,0.497222222222222,0,1,0
1,3.85529999995232,0.490277777777778,1,1,1
1,6.29410000014305,0.558333333333333,1,-1,0
1,4.83740000009537,0.586111111111111,0,1,1
1,4.3905,0.408333333333333,0,1,0
1,3.57,0.631944444444444,1,-1,1
1,4.31690000009537,0.502777777777778,0,-1,0
1,3.44380000019073,0.636111111111111,1,-1,1
1,3.1305,0.555555555555556,1,1,1
1,2.57240000009537,0.722222222222222,1,1,0
2,3.06509999996424,0.975,1,1,1
2,4.9965,0.485,1,-1,1
2,4.88679999995232,0.36,0,-1,0
2,3.25489999997616,0.65,1,1,0
2,4.38239999997616,0.46,1,1,1
2,4.70810000002384,0.3425,1,-1,1
2,5.22639999997616,0.6375,1,-1,0
2,3.624,0.385,1,1,0
2,4.216,0.7,1,-1,1
2,3.14689999997616,0.7975,1,1,1
2,3.36260000002384,0.62,1,-1,0
2,2.30480000001192,1,1,1,0
2,2.75589999997616,0.685,1,1,1
2,3.37570000004768,0.85,1,-1,1
2,4.03819999998808,1,1,-1,0
2,6.476,0.54,1,1,0
2,4.22960000002384,0.715,1,1,1
2,2.86210000002384,0.955,1,-1,1
2,3.18129999995232,0.765,1,-1,0
2,6.95960000002384,0.685,0,1,1
2,2.95980000001192,0.79,1,-1,0
2,4.10819999998808,0.855,1,-1,1
2,3.61159999996424,0.75,1,1,0
2,2.68089999997616,0.76,1,-1,0
2,2.27069999998808,0.7975,1,-1,1
2,3.52760000002384,0.7975,1,1,0
2,3.00319999998808,0.715,0,1,0
2,2.555,0.715,1,-1,0
2,3.51930000001192,0.555,1,-1,1
2,3.50890000003576,0.71,1,-1,0
2,3.59089999997616,0.8425,1,-1,1
2,2.73169999998808,0.755,1,1,1
2,3.891,0.6975,0,1,0
2,3.12289999997616,0.725,1,-1,1
2,3.53030000001192,0.69,1,-1,0
2,4.60619999998808,0.55,1,1,0
2,3.49909999996424,0.5925,1,1,1
2,4.039,0.55,0,1,1
2,2.89869999998808,0.495,1,-1,1
